id;NomeCliente;NomeContato;Endereco;Cidade;País
1;Alfreds Futterkiste;Maria Anders;Obere Str. 57;Berlin;Germany
2;Ana Trujillo Emparedados y helados;Ana Trujillo;Avda. de la Constitución 2222;México D.F.;Mexico
3;Antonio Moreno Taquería;Antonio Moreno;Mataderos 2312;México D.F.;Mexico
4;Around the Horn;Thomas Hardy;120 Hanover Sq.;London;UK
5;Berglunds snabbköp;Christina Berglund;Berguvsvägen 8;Luleå;Sweden
6;Blauer See Delikatessen;Hanna Moos;Forsterstr. 57;Mannheim;Germany
7;Blondel père et fils;Frédérique Citeaux;24, place Kléber;Strasbourg;France
8;Bólido Comidas preparadas;Martín Sommer;C/ Araquil, 67;Madrid;Spain
9;Bon app';Laurence Lebihans;12, rue des Bouchers;Marseille;France
10;Bottom-Dollar Marketse;Elizabeth Lincoln;23 Tsawassen Blvd.;Tsawassen;Canada
11;B's Beverages;Victoria Ashworth;Fauntleroy Circus;London;UK
12;Cactus Comidas para llevar;Patricio Simpson;Cerrito 333;Buenos Aires;Argentina
13;Centro comercial Moctezuma;Francisco Chang;Sierras de Granada 9993;México D.F.;Mexico
14;Chop-suey Chinese;Yang Wang;Hauptstr. 29;Bern;Switzerland
15;Comércio Mineiro;Pedro Afonso;Av. dos Lusíadas, 23;São Paulo;Brazil
16;Consolidated Holdings;Elizabeth Brown;Berkeley Gardens 12 Brewery;London;UK
17;Drachenblut Delikatessend;Sven Ottlieb;Walserweg 21;Aachen;Germany
18;Du monde entier;Janine Labrune;67, rue des Cinquante Otages;Nantes;France
19;Eastern Connection;Ann Devon;35 King George;London;UK
20;Ernst Handel;Roland Mendel;Kirchgasse 6;Graz;Austria
21;Familia Arquibaldo;Aria Cruz;Rua Orós, 92;São Paulo;Brazil
22;FISSA Fabrica Inter. Salchichas S.A.;Diego Roel;C/ Moralzarzal, 86;Madrid;Spain
23;Folies gourmandes;Martine Rancé;184, chaussée de Tournai;Lille;France
24;Folk och fä HB;Maria Larsson;Åkergatan 24;Bräcke;Sweden
25;Frankenversand;Peter Franken;Berliner Platz 43;München;Germany
26;France restauration;Carine Schmitt;54, rue Royale;Nantes;France
27;Franchi S.p.A.;Paolo Accorti;Via Monte Bianco 34;Torino;Italy
28;Furia Bacalhau e Frutos do Mar;Lino Rodriguez;Jardim das rosas n. 32;Lisboa;Portugal
29;Galería del gastrónomo;Eduardo Saavedra;Rambla de Cataluña, 23;Barcelona;Spain
30;Godos Cocina Típica;José Pedro Freyre;C/ Romero, 33;Sevilla;Spain
31;Gourmet Lanchonetes;André Fonseca;Av. Brasil, 442;Campinas;Brazil
32;Great Lakes Food Market;Howard Snyder;2732 Baker Blvd.;Eugene;USA
33;GROSELLA-Restaurante;Manuel Pereira;5ª Ave. Los Palos Grandes;Caracas;Venezuela
34;Hanari Carnes;Mario Pontes;Rua do Paço, 67;Rio de Janeiro;Brazil
35;HILARIÓN-Abastos;Carlos Hernández;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Venezuela
36;Hungry Coyote Import Store;Yoshi Latimer;City Center Plaza 516 Main St.;Elgin;USA
37;Hungry Owl All-Night Grocers;Patricia McKenna;8 Johnstown Road;Cork;Ireland
38;Island Trading;Helen Bennett;Garden House Crowther Way;Cowes;UK
39;Königlich Essen;Philip Cramer;Maubelstr. 90;Brandenburg;Germany
40;La corne d'abondance;Daniel Tonini;67, avenue de l'Europe;Versailles;France
41;La maison d'Asie;Annette Roulet;1 rue Alsace-Lorraine;Toulouse;France
42;Laughing Bacchus Wine Cellars;Yoshi Tannamuri;1900 Oak St.;Vancouver;Canada
43;Lazy K Kountry Store;John Steel;12 Orchestra Terrace;Walla Walla;USA
44;Lehmanns Marktstand;Renate Messner;Magazinweg 7;Frankfurt a.M.;Germany
45;Let's Stop N Shop;Jaime Yorres;87 Polk St. Suite 5;San Francisco;USA
46;LILA-Supermercado;Carlos González;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Venezuela
47;LINO-Delicateses;Felipe Izquierdo;Ave. 5 de Mayo Porlamar;I. de Margarita;Venezuela
48;Lonesome Pine Restaurant;Fran Wilson;89 Chiaroscuro Rd.;Portland;USA
49;Magazzini Alimentari Riuniti;Giovanni Rovelli;Via Ludovico il Moro 22;Bergamo;Italy
50;Maison Dewey;Catherine Dewey;Rue Joseph-Bens 532;Bruxelles;Belgium
